name,type,path
Aquatic,Module,Aquatic.md
Aquatic.DEFAULT_SALMON_SPEED,Constant,Aquatic.md#constant-DEFAULT_SALMON_SPEED
Aquatic.MAX_DEPTH,Constant,Aquatic.md#constant-MAX_DEPTH
Aquatic.swim,Method,Aquatic.md#method-i-swim
Fish,Class,Fish.md
Fish.DEFAULT_SALMON_SPEED,Constant,Fish.md#constant-DEFAULT_SALMON_SPEED
Fish.MAX_DEPTH,Constant,Fish.md#constant-MAX_DEPTH
Fish.make_sound,Method,Fish.md#method-i-make_sound
Fish.swim,Method,Fish.md#method-i-swim
Salmon,Class,Salmon.md
Salmon.DEFAULT_SALMON_SPEED,Constant,Salmon.md#constant-DEFAULT_SALMON_SPEED
Salmon.MAX_DEPTH,Constant,Salmon.md#constant-MAX_DEPTH
Salmon.initialize,Method,Salmon.md#method-i-initialize
Salmon.make_sound,Method,Salmon.md#method-i-make_sound
Salmon.sustainable?,Method,Salmon.md#method-i-sustainable?
Salmon.swim,Method,Salmon.md#method-i-swim
Salmon.wild_salmon,Method,Salmon.md#method-c-wild_salmon
farmed,Attribute,Salmon.md#attribute-i-farmed
wild,Attribute,Salmon.md#attribute-i-wild
