name,type,path
Waterfowl,Module,Waterfowl.md
Waterfowl.swim,Method,Waterfowl.md#method-i-swim
Bird,Class,Bird.md
Bird.fly,Method,Bird.md#method-i-fly
Bird.speak,Method,Bird.md#method-i-speak
Duck,Class,Duck.md
Duck.MAX_VELOCITY,Constant,Duck.md#constant-MAX_VELOCITY
Duck.@@rubber_ducks,Constant,Duck.md#classvariable--40-40rubber_ducks
Duck.initialize,Method,Duck.md#method-i-initialize
Duck.speak,Method,Duck.md#method-i-speak
Duck.swim,Method,Duck.md#method-i-swim
Duck.useful?,Method,Duck.md#method-i-useful-3F
Duck.rubber_ducks,Method,Duck.md#method-c-rubber_ducks
Duck.domestic,Attribute,Duck.md#attribute-i-domestic
Duck.rubber,Attribute,Duck.md#attribute-i-rubber
