name,type,path
Aquatic,Module,Aquatic.md
Aquatic.swim,Method,Aquatic.md#method-i-swim
Fish,Class,Fish.md
Fish.make_sound,Method,Fish.md#method-i-make_sound
Fish.swim,Method,Fish.md#method-i-swim
Salmon,Class,Salmon.md
Salmon.MAX_SPEED,Constant,Salmon.md#constant-MAX_SPEED
Salmon.@@wild_salmon,Constant,Salmon.md#classvariable--40-40wild_salmon
Salmon.initialize,Method,Salmon.md#method-i-initialize
Salmon.make_sound,Method,Salmon.md#method-i-make_sound
Salmon.sustainable?,Method,Salmon.md#method-i-sustainable-3F
Salmon.swim,Method,Salmon.md#method-i-swim
Salmon.wild_salmon,Method,Salmon.md#method-c-wild_salmon
Salmon.farmed,Attribute,Salmon.md#attribute-i-farmed
Salmon.wild,Attribute,Salmon.md#attribute-i-wild
